id,parentId,grandparentId,greatgrandparentId
1,0,-1,-1
2,1,0,-1
3,2,1,0
4,2,1,0
5,2,1,0
6,2,1,0
7,2,1,0
8,2,1,0
9,2,1,0
10,2,1,0
12,3,2,1
13,3,2,1
14,3,2,1
15,3,2,1
16,3,2,1
17,3,2,1
18,3,2,1
19,3,2,1
20,3,2,1
21,3,2,1
22,3,2,1
23,3,2,1
24,3,2,1
25,3,2,1
26,3,2,1
27,3,2,1
28,3,2,1
29,3,2,1
30,4,2,1
31,4,2,1
32,4,2,1
33,4,2,1
34,4,2,1
35,4,2,1
36,4,2,1
37,4,2,1
38,4,2,1
39,4,2,1
40,4,2,1
41,4,2,1
42,4,2,1
43,4,2,1
44,5,2,1
45,5,2,1
46,5,2,1
47,5,2,1
48,5,2,1
49,5,2,1
50,5,2,1
51,5,2,1
52,6,2,1
54,6,2,1
55,6,2,1
56,6,2,1
58,6,2,1
59,6,2,1
61,6,2,1
62,7,2,1
63,10,2,1
64,7,2,1
65,7,2,1
66,8,2,1
67,8,2,1
68,8,2,1
69,8,2,1
70,8,2,1
71,8,2,1
72,6,2,1
73,8,2,1
74,8,2,1
75,8,2,1
76,4,2,1
77,9,2,1
78,9,2,1
79,9,2,1
80,9,2,1
81,9,2,1
82,9,2,1
83,269,2,1
84,269,2,1
85,10,2,1
86,3,2,1
87,3,2,1
88,4,2,1
89,4,2,1
90,4,2,1
91,10,2,1
92,10,2,1
93,3,2,1
94,3,2,1
95,3,2,1
96,269,2,1
97,269,2,1
98,498,2,1
99,498,2,1
100,269,2,1
101,3,2,1
102,10,2,1
103,3,2,1
104,3,2,1
105,4,2,1
106,1,0,-1
107,106,1,0
108,106,1,0
109,106,1,0
110,106,1,0
111,106,1,0
112,107,106,1
113,107,106,1
114,108,106,1
115,108,106,1
116,108,106,1
117,109,106,1
118,109,106,1
119,109,106,1
120,109,106,1
121,110,106,1
122,110,106,1
123,110,106,1
124,111,106,1
125,111,106,1
126,111,106,1
127,108,106,1
128,106,1,0
130,0,-1,-1
131,130,0,-1
132,131,130,0
133,132,131,130
134,132,131,130
135,132,131,130
136,132,131,130
137,132,131,130
138,132,131,130
139,132,131,130
140,0,-1,-1
141,140,0,-1
142,141,140,0
143,142,141,140
144,142,141,140
145,142,141,140
146,142,141,140
147,142,141,140
148,142,141,140
149,142,141,140
150,142,141,140
151,142,141,140
152,142,141,140
153,142,141,140
154,142,141,140
155,142,141,140
156,142,141,140
157,142,141,140
158,142,141,140
159,142,141,140
160,142,141,140
161,142,141,140
162,142,141,140
163,142,141,140
164,142,141,140
165,142,141,140
166,142,141,140
167,142,141,140
168,142,141,140
169,142,141,140
170,142,141,140
171,142,141,140
172,142,141,140
173,142,141,140
174,142,141,140
175,142,141,140
176,142,141,140
177,142,141,140
178,142,141,140
179,142,141,140
180,142,141,140
181,142,141,140
182,142,141,140
183,142,141,140
184,142,141,140
185,142,141,140
186,142,141,140
187,142,141,140
188,142,141,140
189,142,141,140
190,142,141,140
191,142,141,140
192,140,0,-1
193,192,140,0
194,193,192,140
195,193,192,140
196,193,192,140
197,193,192,140
198,193,192,140
199,193,192,140
200,193,192,140
201,193,192,140
202,193,192,140
203,193,192,140
204,193,192,140
205,193,192,140
206,6,2,1
207,6,2,1
208,6,2,1
209,6,2,1
210,9,2,1
211,109,106,1
212,109,106,1
213,109,106,1
214,109,106,1
215,109,106,1
216,109,106,1
217,108,106,1
218,108,106,1
219,108,106,1
220,110,106,1
221,8,2,1
222,5,2,1
223,5,2,1
224,6,2,1
225,6,2,1
226,6,2,1
227,6,2,1
228,6,2,1
229,6,2,1
230,5,2,1
231,5,2,1
232,5,2,1
233,5,2,1
234,5,2,1
235,7,2,1
236,7,2,1
237,7,2,1
238,7,2,1
239,7,2,1
240,7,2,1
241,7,2,1
242,8,2,1
243,8,2,1
244,8,2,1
245,8,2,1
246,8,2,1
247,8,2,1
248,8,2,1
249,8,2,1
250,8,2,1
251,8,2,1
252,4,2,1
253,4,2,1
254,4,2,1
255,4,2,1
256,4,2,1
257,4,2,1
258,4,2,1
259,4,2,1
260,4,2,1
261,4,2,1
262,4,2,1
263,4,2,1
264,4,2,1
265,4,2,1
266,4,2,1
268,9,2,1
269,2,1,0
275,4,2,1
276,4,2,1
278,4,2,1
279,5,2,1
280,5,2,1
281,107,106,1
282,0,-1,-1
283,282,0,-1
284,283,282,0
285,284,283,282
286,284,283,282
287,284,283,282
288,284,283,282
289,284,283,282
290,284,283,282
291,284,283,282
292,284,283,282
293,284,283,282
294,284,283,282
295,284,283,282
296,284,283,282
297,284,283,282
298,284,283,282
299,284,283,282
300,284,283,282
301,284,283,282
302,284,283,282
303,284,283,282
304,284,283,282
305,284,283,282
306,284,283,282
307,284,283,282
308,284,283,282
309,284,283,282
310,284,283,282
311,284,283,282
312,284,283,282
313,284,283,282
314,284,283,282
315,284,283,282
316,284,283,282
317,284,283,282
318,284,283,282
319,284,283,282
320,282,0,-1
321,320,282,0
322,321,320,282
323,321,320,282
324,321,320,282
325,321,320,282
326,321,320,282
327,321,320,282
328,321,320,282
329,321,320,282
330,321,320,282
331,321,320,282
332,1,0,-1
333,332,1,0
334,332,1,0
335,332,1,0
336,332,1,0
337,332,1,0
338,332,1,0
339,1,0,-1
340,1,0,-1
341,1,0,-1
342,1,0,-1
343,1,0,-1
344,1,0,-1
345,1,0,-1
346,1,0,-1
347,1,0,-1
348,1,0,-1
349,1,0,-1
350,333,332,1
351,333,332,1
352,333,332,1
353,333,332,1
354,333,332,1
355,333,332,1
356,333,332,1
357,334,332,1
358,334,332,1
359,334,332,1
360,334,332,1
361,334,332,1
362,334,332,1
363,334,332,1
364,334,332,1
365,335,332,1
366,335,332,1
367,335,332,1
368,335,332,1
369,335,332,1
370,335,332,1
371,335,332,1
372,335,332,1
373,335,332,1
374,336,332,1
375,336,332,1
376,336,332,1
377,336,332,1
378,336,332,1
379,336,332,1
380,336,332,1
381,336,332,1
382,337,332,1
383,337,332,1
384,337,332,1
385,337,332,1
386,337,332,1
387,337,332,1
388,337,332,1
389,338,332,1
390,338,332,1
391,338,332,1
392,338,332,1
393,338,332,1
394,338,332,1
395,338,332,1
396,338,332,1
397,338,332,1
398,339,1,0
400,398,339,1
401,398,339,1
402,398,339,1
403,339,1,0
404,403,339,1
405,403,339,1
406,403,339,1
407,403,339,1
408,339,1,0
409,349,1,0
410,339,1,0
411,410,339,1
413,410,339,1
414,410,339,1
415,339,1,0
416,415,339,1
417,415,339,1
418,415,339,1
419,415,339,1
420,415,339,1
421,339,1,0
422,421,339,1
423,421,339,1
424,421,339,1
425,421,339,1
426,421,339,1
427,421,339,1
428,339,1,0
429,339,1,0
430,339,1,0
431,430,339,1
432,430,339,1
434,339,1,0
435,439,339,1
436,434,339,1
437,339,1,0
438,339,1,0
439,339,1,0
440,339,1,0
441,339,1,0
442,339,1,0
443,442,339,1
444,442,339,1
445,442,339,1
446,442,339,1
447,442,339,1
448,442,339,1
449,339,1,0
450,1,0,-1
451,450,1,0
452,450,1,0
453,450,1,0
454,450,1,0
455,451,450,1
456,451,450,1
457,452,450,1
458,452,450,1
459,452,450,1
460,452,450,1
461,452,450,1
462,452,450,1
463,452,450,1
464,452,450,1
465,452,450,1
466,452,450,1
467,452,450,1
468,452,450,1
469,452,450,1
470,453,450,1
471,453,450,1
472,453,450,1
473,453,450,1
474,453,450,1
475,453,450,1
476,453,450,1
477,453,450,1
478,453,450,1
479,453,450,1
480,453,450,1
481,453,450,1
482,453,450,1
483,453,450,1
484,453,450,1
485,453,450,1
486,453,450,1
487,453,450,1
488,454,450,1
489,454,450,1
490,454,450,1
491,454,450,1
492,454,450,1
493,454,450,1
494,454,450,1
495,454,450,1
496,454,450,1
497,454,450,1
498,2,1,0
499,0,-1,-1
500,0,-1,-1
502,3,2,1
503,111,106,1
504,110,106,1
505,348,1,0
506,505,348,1
507,339,1,0
508,507,339,1
509,339,1,0
510,509,339,1
514,348,1,0
515,349,1,0
516,515,349,1
517,348,1,0
518,517,348,1
519,514,348,1
520,507,339,1
521,514,348,1
522,514,348,1
523,560,349,1
524,507,339,1
525,340,1,0
526,340,1,0
527,526,340,1
528,349,1,0
529,614,349,1
530,526,340,1
531,614,349,1
532,526,340,1
533,340,1,0
534,505,348,1
535,514,348,1
536,514,348,1
537,514,348,1
539,514,348,1
540,514,348,1
541,514,348,1
542,514,348,1
543,514,348,1
544,514,348,1
545,514,348,1
547,342,1,0
548,514,348,1
549,349,1,0
550,514,348,1
551,514,348,1
553,514,348,1
554,334,332,1
555,449,339,1
556,340,1,0
557,339,1,0
558,339,1,0
559,507,339,1
560,349,1,0
561,349,1,0
562,349,1,0
563,349,1,0
564,349,1,0
565,349,1,0
566,349,1,0
567,349,1,0
568,1,0,-1
569,130,0,-1
570,500,0,-1
571,500,0,-1
572,140,0,-1
573,572,140,0
574,1,0,-1
575,568,1,0
576,140,0,-1
577,515,349,1
578,514,348,1
579,514,348,1
580,341,1,0
581,580,341,1
582,526,340,1
583,341,1,0
584,526,340,1
585,514,348,1
586,514,348,1
587,514,348,1
588,514,348,1
589,614,349,1
590,269,2,1
591,526,340,1
592,1,0,-1
593,339,1,0
594,340,1,0
595,517,348,1
596,349,1,0
597,340,1,0
598,1,0,-1
599,598,1,0
600,599,598,1
601,526,340,1
602,526,340,1
603,340,1,0
604,603,340,1
605,597,340,1
606,339,1,0
607,449,339,1
608,517,348,1
609,349,1,0
610,514,348,1
611,349,1,0
612,349,1,0
613,349,1,0
614,349,1,0
615,339,1,0
616,615,339,1
617,340,1,0
618,333,332,1
619,349,1,0
620,333,332,1
621,336,332,1
622,336,332,1
623,337,332,1
624,332,1,0
625,624,332,1
626,338,332,1
627,338,332,1
628,7,2,1
629,1,0,-1
630,629,1,0
631,526,340,1
632,340,1,0
633,614,349,1
634,340,1,0
635,341,1,0
636,614,349,1
638,556,340,1
639,603,340,1
640,349,1,0
641,615,339,1
642,615,339,1
643,349,1,0
644,509,339,1
645,339,1,0
646,349,1,0
647,614,349,1
648,614,349,1
649,615,339,1
650,514,348,1
651,514,348,1
652,614,349,1
653,630,629,1
654,630,629,1
655,630,629,1
656,630,629,1
657,615,339,1
658,615,339,1
660,343,1,0
661,343,1,0
662,526,340,1
663,343,1,0
664,1,0,-1
665,339,1,0
666,526,340,1
667,615,339,1
668,439,339,1
669,439,339,1
670,507,339,1
671,449,339,1
672,449,339,1
673,449,339,1
674,509,339,1
675,505,348,1
676,505,348,1
677,505,348,1
678,505,348,1
679,505,348,1
680,505,348,1
681,505,348,1
682,505,348,1
683,505,348,1
684,505,348,1
685,505,348,1
686,505,348,1
687,505,348,1
688,514,348,1
689,514,348,1
690,517,348,1
691,517,348,1
692,517,348,1
693,517,348,1
694,517,348,1
695,517,348,1
696,517,348,1
697,517,348,1
698,517,348,1
699,517,348,1
700,517,348,1
701,517,348,1
702,517,348,1
703,349,1,0
704,703,349,1
705,349,1,0
708,349,1,0
711,349,1,0
712,349,1,0
713,349,1,0
714,349,1,0
715,349,1,0
716,349,1,0
717,611,349,1
718,611,349,1
719,611,349,1
720,611,349,1
721,611,349,1
722,611,349,1
723,611,349,1
724,611,349,1
725,611,349,1
726,611,349,1
727,611,349,1
728,611,349,1
729,611,349,1
730,611,349,1
731,611,349,1
732,611,349,1
733,596,349,1
734,596,349,1
735,596,349,1
736,349,1,0
737,515,349,1
738,349,1,0
739,349,1,0
740,349,1,0
741,740,349,1
742,740,349,1
743,740,349,1
744,614,349,1
746,614,349,1
747,614,349,1
748,614,349,1
749,614,349,1
750,614,349,1
754,614,349,1
755,614,349,1
756,614,349,1
757,614,349,1
758,614,349,1
759,614,349,1
760,614,349,1
762,343,1,0
763,762,343,1
764,762,343,1
765,762,343,1
766,762,343,1
767,762,343,1
768,762,343,1
769,762,343,1
770,762,343,1
771,762,343,1
772,762,343,1
773,343,1,0
774,343,1,0
775,343,1,0
776,343,1,0
777,343,1,0
778,343,1,0
779,343,1,0
780,343,1,0
781,343,1,0
782,343,1,0
783,343,1,0
784,343,1,0
785,343,1,0
786,343,1,0
787,343,1,0
788,660,343,1
789,660,343,1
790,660,343,1
791,660,343,1
792,660,343,1
793,660,343,1
794,777,343,1
795,777,343,1
796,777,343,1
797,777,343,1
798,777,343,1
799,777,343,1
800,344,1,0
801,349,1,0
802,344,1,0
803,344,1,0
804,344,1,0
805,344,1,0
806,344,1,0
807,344,1,0
808,344,1,0
809,344,1,0
810,344,1,0
811,778,343,1
812,778,343,1
813,663,343,1
814,661,343,1
815,778,343,1
816,773,343,1
817,785,343,1
818,802,344,1
819,806,344,1
820,806,344,1
821,773,343,1
822,346,1,0
823,822,346,1
824,349,1,0
825,1,0,-1
826,825,1,0
827,344,1,0
828,346,1,0
829,828,346,1
830,828,346,1
831,828,346,1
832,828,346,1
833,828,346,1
834,828,346,1
835,828,346,1
836,828,346,1
837,828,346,1
838,828,346,1
839,822,346,1
840,822,346,1
841,822,346,1
842,822,346,1
843,822,346,1
844,822,346,1
845,822,346,1
846,822,346,1
847,822,346,1
848,822,346,1
849,822,346,1
850,822,346,1
851,828,346,1
852,1,0,-1
853,828,346,1
854,828,346,1
856,332,1,0
857,332,1,0
858,332,1,0
862,332,1,0
863,332,1,0
